,filename,cgpa,sgpa
212,/content/btech/found/23010505013_1800265979.html,6.26,6.26
213,/content/btech/found/21010205006_1800265531.html,7.54,7.46
214,/content/btech/found/21020205005_1800265532.html,7.56,7.76
215,/content/btech/found/22020905007_1800265903.html,7.45,7.85
216,/content/btech/found/21010301047_1800265932.html,5.82,4.19
217,/content/btech/found/22011403008_1800266006.html,5.83,5.83
218,/content/btech/found/20010101048_1800265814.html,6.50,4.37
219,/content/btech/found/22011303029_1800265758.html,4.65,4.17
220,/content/btech/found/21010101002_1800265788.html,6.88,6.62
221,/content/btech/found/22020203001_1800265760.html,5.62,5.04
222,/content/btech/found/21011203018_1800266011.html,1.59836065573771,1
223,/content/btech/found/21010901006_1800265932.html,5.52,3.31
224,/content/btech/found/20010401045_1800265267.html,6.96,5.63
225,/content/btech/found/20010104003_1800265817.html,5.99,3.54
226,/content/btech/found/22010501012_1800265929.html,4.29,4.13
227,/content/btech/found/20010603049_1800265762.html,8.11,7.96
228,/content/btech/found/21010101036_1800265494.html,3.88,3.88
229,/content/btech/found/23011203021_1800266016.html,7.61,7.61
230,/content/btech/found/20011303004_1800266008.html,7.11111111111111,5.70833333333333
231,/content/btech/found/21021201004_1800265814.html,6.46,5.89
232,/content/btech/found/21010501024_1800265932.html,3.73,1.27
233,/content/btech/found/21010505050_1800265903.html,6.35,5.93
234,/content/btech/found/21010205044_1800265770.html,0.88,0.88
235,/content/btech/found/21010401004_1800265928.html,4.29,4.29
236,/content/btech/found/21011303020_1800266008.html,5.19444444444444,6.66666666666667
237,/content/btech/found/23010106069_1800265980.html,5.48,5.48
238,/content/btech/found/22021405003_1800265531.html,3.85,3.85
239,/content/btech/found/21011303003_1800265759.html,5.07,2.33
240,/content/btech/found/21021105001_1800265275.html,8.24,7.93
241,/content/btech/found/22011203034_1800266006.html,5.71,5.71
242,/content/btech/found/21011203006_1800265589.html,8.15,7.96
243,/content/btech/found/21010205014_1800265899.html,5.08,5.08
244,/content/btech/found/22010305070_1800265770.html,2.25,2.25
245,/content/btech/found/20010901009_1800265499.html,6.08,3.25
246,/content/btech/found/21021203007_1800266013.html,7.92741935483871,8.1304347826087
247,/content/btech/found/22010603051_1800266006.html,4.79,4.79
248,/content/btech/found/22010305042_1800265771.html,2.56,2.88
249,/content/btech/found/22010301058_1800265928.html,4.46,4.46
250,/content/btech/found/22020401004_1800265468.html,6.65,6.65
251,/content/btech/found/21010603044_1800265587.html,7.54,7.54
252,/content/btech/found/20010903001_1800265762.html,7.79,8.04
253,/content/btech/found/20010505033_1800265275.html,8.23,8.31
254,/content/btech/found/21010101002_1800265813.html,6.81,6.58
255,/content/btech/found/21021403001_1800266013.html,7.15625,7
256,/content/btech/found/21010401009_1800265813.html,4.20,4.17
257,/content/btech/found/21010505057_1800265771.html,2.5,2.17
258,/content/btech/found/20010305045_1800265219.html,7.76,7.73
259,/content/btech/found/21010903006_1800265757.html,4.13,4.13
260,/content/btech/found/21021105003_1800265775.html,6.92,5.07
261,/content/btech/found/22010103062_1800266003.html,3.04,3.04
262,/content/btech/found/20010301006_1800265934.html,7.40,7.39
263,/content/btech/found/21010505025_1800265773.html,4.96,5.50
264,/content/btech/found/23010501068_1800265991.html,6.22,6.22
265,/content/btech/found/21010205022_1800265771.html,3.42,3.21
266,/content/btech/found/22010401021_1800265812.html,2.96,2.42
267,/content/btech/found/21020901004_1800265267.html,7.88,6.71
268,/content/btech/found/20010203002_1800266013.html,7.48837209302326,8.08695652173913
269,/content/btech/found/20010401059_1800265814.html,7.93,7.15
270,/content/btech/found/22021201021_1800265813.html,4.90,2.50
271,/content/btech/found/22015103027_1800265480.html,7.09,7.09
272,/content/btech/found/20010505015_1800265775.html,5.34,4.56
273,/content/btech/found/20010101041_1800265469.html,4.52,2.13
274,/content/btech/found/21010104007_1800265292.html,6.08,4.38
275,/content/btech/found/22010104016_1800265984.html,4.83,3.92
276,/content/btech/found/20010301024_1800265469.html,7.45,6.81
277,/content/btech/found/21010101013_1800265813.html,7.44,6.50
278,/content/btech/found/20010203028_1800265762.html,7.48,7.59
279,/content/btech/found/21010505001_1800265531.html,2.65,2.19
280,/content/btech/found/22010903015_1800266007.html,6.19,5.29
281,/content/btech/found/21010603015_1800265760.html,5.87,5.42
282,/content/btech/found/22021001002_1800265931.html,7.74,7.62
283,/content/btech/found/21010505059_1800265395.html,4.92,4.92
284,/content/btech/found/21021001011_1800265267.html,2.82,3.42
285,/content/btech/found/22010305060_1800265771.html,4.5,5.17
286,/content/btech/found/22020107002_1800265778.html,6.56,6.96
287,/content/btech/found/22010301076_1800265930.html,7.19,7.19
288,/content/btech/found/23021105003_1800265901.html,3.38,3.38
289,/content/btech/found/21010301050_1800265291.html,7.17,7.08
290,/content/btech/found/20010901009_1800265930.html,7.00,6.00
291,/content/btech/found/21021303008_1800265761.html,6.49,6.75
292,/content/btech/found/21020104006_1800265599.html,6.38,6.38
293,/content/btech/found/22010304043_1800265516.html,2.88,2.88
294,/content/btech/found/20010104052_1800265518.html,7.41,4.54
295,/content/btech/found/21010501048_1800265930.html,4.97,3.73
296,/content/btech/found/22020305004_1800265773.html,7.96,8.15
297,/content/btech/found/21011203018_1800265299.html,,
298,/content/btech/found/21021005005_1800265275.html,4.96,4.32
299,/content/btech/found/20010301033_1800265267.html,5.78,4.33
300,/content/btech/found/22010304024_1800265984.html,7.38,7.08
301,/content/btech/found/20011201001_1800265814.html,7.67,7.70
